"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CBLB",4.69270952609214e-07,0.393954450010879,0.385,0.165,0.00707801377820478,"NK","CBLB"
"UFC1",5.03067092661683e-07,0.387064258282462,0.769,0.539,0.00758776095861616,"NK","UFC1"
"RNF167",5.25075748871895e-07,0.373158814108145,0.554,0.319,0.00791971752023479,"NK","RNF167"
"MANF1",5.35904652844627e-07,0.396806986441965,0.523,0.292,0.00808304987885551,"NK","MANF"
"BANF1",5.428726523116e-07,0.369016022897644,0.646,0.396,0.00818814821481586,"NK","BANF1"
"CD160",5.54851779966304e-07,0.446458499778705,0.308,0.112,0.00836882939723177,"NK","CD160"
"CD38",6.0276832201691e-07,0.546271968122372,0.431,0.217,0.00909155460098106,"NK","CD38"
"PRRC2C",6.12590239274249e-07,0.396611335298625,0.8,0.53,0.0092396985789735,"NK","PRRC2C"
"CD53",6.21761772370683e-07,0.332531443458179,0.908,0.676,0.00937803281266701,"NK","CD53"
"VAMP2",6.45206971528288e-07,0.366473115108656,0.754,0.518,0.00973165675156117,"NK","VAMP2"
"GPATCH2",7.94018317611059e-07,0.283238707169481,0.277,0.099,0.0119761782845276,"NK","GPATCH2"
"SNORD3A",9.06951173534581e-07,0.377789038835986,0.385,0.171,0.0136795445504221,"NK","SNORD3A"
"PPIB",9.4218164507441e-07,0.388664587780268,0.846,0.619,0.0142109257526573,"NK","PPIB"
"RCSD1",9.61511318746249e-07,0.367816428063752,0.738,0.523,0.0145024752206497,"NK","RCSD1"
"HOXB2",1.179163189825e-06,0.382924559197503,0.369,0.165,0.0177853183921304,"NK","HOXB2"
"NPRL2",1.21302683298698e-06,0.354750892728968,0.323,0.136,0.0182960837219426,"NK","NPRL2"
"TAPBP",1.2619125538977e-06,0.365893414033428,0.785,0.571,0.0190334270504391,"NK","TAPBP"
"SRSF11",1.58671564408888e-06,0.286802498433264,0.738,0.499,0.0239324320597926,"NK","SRSF11"
"CRIP1",1.64224227913827e-06,0.342314631048975,0.877,0.584,0.0247699402962426,"NK","CRIP1"
"RSBN1L",1.77911703194252e-06,0.281438188170221,0.585,0.356,0.0268344221927891,"NK","RSBN1L"
"CUTA",2.04184254998389e-06,0.353807558454655,0.754,0.533,0.0307971111814069,"NK","CUTA"
"LINC00861",2.17475605990432e-06,0.441364301761363,0.585,0.336,0.0328018456515368,"NK","LINC00861"
"TMED9",2.21402831906498e-06,0.47040251678201,0.6,0.397,0.0333941891364571,"NK","TMED9"
"STARD3NL",2.2500126568067e-06,0.369300928718238,0.415,0.207,0.0339369409026154,"NK","STARD3NL"
"NT5C",2.35694341342031e-06,0.505424869325189,0.446,0.25,0.0355497775046185,"NK","NT5C"
"TSPAN32",2.45795084188989e-06,0.352501628742463,0.323,0.136,0.0370732725482252,"NK","TSPAN32"
"C21orf33",2.52977371425511e-06,0.368774447809073,0.477,0.272,0.0381565769321098,"NK","C21orf33"
"EBP",2.81496062973067e-06,0.40039761288967,0.4,0.19,0.0424580511782277,"NK","EBP"
"OFD11",2.84643259494403e-06,0.382514420562827,0.492,0.28,0.0429327428295408,"NK","OFD1"
"DIP2A",2.85688637635128e-06,0.453029865307498,0.431,0.22,0.0430904172145063,"NK","DIP2A"
"FYN",2.88279279099622e-06,0.374300403980147,0.646,0.409,0.043481163666596,"NK","FYN"
"KRTCAP2",2.91646771626769e-06,0.362065371904853,0.738,0.548,0.0439890825644656,"NK","KRTCAP2"
"TMEM261",3.02084716020336e-06,0.432078044431145,0.492,0.286,0.0455634377173472,"NK","TMEM261"
"GLTSCR21",3.07155918529877e-06,0.319362870340965,0.892,0.679,0.0463283271918614,"NK","GLTSCR2"
"SDF4",3.23389589445905e-06,0.416071630360516,0.462,0.256,0.0487768517761258,"NK","SDF4"
"CCDC28B",3.25817552882781e-06,0.408657289017469,0.385,0.182,0.0491430615013099,"NK","CCDC28B"
"SLC38A1",3.29253535756414e-06,0.341479749455577,0.462,0.236,0.0496613107981399,"NK","SLC38A1"
"SSR2",3.46339752679144e-06,0.340896552566069,0.862,0.695,0.0522384248965954,"NK","SSR2"
"BSG",3.491721576341e-06,0.359510282972976,0.646,0.445,0.0526656365359514,"NK","BSG"
"C9orf78",3.6702494255947e-06,0.351845908062112,0.585,0.379,0.0553583720862448,"NK","C9orf78"
"P4HB",3.75712956220329e-06,0.474813312065412,0.631,0.456,0.0566687851867123,"NK","P4HB"
"TMC8",3.82825248760955e-06,0.407629385276232,0.462,0.25,0.0577415322706148,"NK","TMC8"
"CIRBP1",4.17396074071431e-06,0.393820002924713,0.708,0.516,0.0629558498521939,"NK","CIRBP"
"STAT4",4.26660954503165e-06,0.324546290152569,0.292,0.118,0.0643532717677123,"NK","STAT4"
"RORA",4.27141263379293e-06,0.453005099514642,0.446,0.243,0.0644257167554988,"NK","RORA"
"NDUFB7",4.39476848583354e-06,0.401488090623567,0.738,0.543,0.0662862930718273,"NK","NDUFB7"
"FUT11",4.41237622728349e-06,0.45765607642918,0.308,0.132,0.0665518706361169,"NK","FUT11"
"ASCL2",4.63916439781166e-06,0.526974806948848,0.277,0.112,0.0699725166121932,"NK","ASCL2"
"CALM1",4.70220186172978e-06,0.284464155327376,0.985,0.85,0.0709233106804703,"NK","CALM1"
"ARID5A",4.74838305532208e-06,0.417454302331903,0.354,0.165,0.071619861623423,"NK","ARID5A"
"SRSF3",4.84992276655953e-06,0.319791791364207,0.892,0.606,0.0731513850880174,"NK","SRSF3"
"SP100",4.86036209668315e-06,0.261453928133065,0.738,0.505,0.0733088415042719,"NK","SP100"
"CCL5",5.057925191051e-06,0.309277653700319,0.908,0.57,0.0762886856566223,"NK","CCL5"
"CD320",5.17240034820248e-06,0.379536948171034,0.338,0.149,0.0780153144519381,"NK","CD320"
"RNPS1",5.2760558658862e-06,0.351272286525105,0.6,0.379,0.0795787506251616,"NK","RNPS1"
"CTSD",5.64176008288527e-06,0.315515021158493,0.754,0.524,0.0850946673301586,"NK","CTSD"
"GIMAP7",5.7066162432681e-06,0.297066807969369,1,0.699,0.0860728927972127,"NK","GIMAP7"
"SATB1",5.85557273405356e-06,0.290189115443107,0.446,0.228,0.0883196035477298,"NK","SATB1"
"SLFN5",5.91607384912284e-06,0.456449421106041,0.585,0.375,0.0892321418663198,"NK","SLFN5"
"JADE1",6.02219400246252e-06,0.263360922132872,0.292,0.116,0.0908327521391422,"NK","JADE1"
"CCDC69",6.32947574491455e-06,0.415796195663875,0.492,0.288,0.0954674826605462,"NK","CCDC69"
"BDP1",6.38600878440881e-06,0.413021495793196,0.4,0.216,0.0963201704952381,"NK","BDP1"
"INPP5D",6.51062501258068e-06,0.384785575124643,0.369,0.183,0.0981997570647544,"NK","INPP5D"
"MIF1",6.87926973176909e-06,0.307910978849071,0.8,0.541,0.103760025364273,"NK","MIF"
"LGALS3",7.32267837241577e-06,0.361046814253917,0.508,0.269,0.110447957891147,"NK","LGALS3"
"PTMA1",7.92849103278188e-06,0.265070665932056,1,0.838,0.119585430247449,"NK","PTMA"
"ARF6",8.15434545341076e-06,0.366784561221831,0.677,0.492,0.122991992473794,"NK","ARF6"
"CSNK1D",8.32676485044555e-06,0.390048175428536,0.4,0.209,0.12559259423927,"NK","CSNK1D"
"MSN",8.59391967192189e-06,0.295924391206557,0.831,0.611,0.129622090411598,"NK","MSN"
"DNAJB11",8.72168130287608e-06,0.392169038678902,0.431,0.24,0.13154911909128,"NK","DNAJB11"
"VPS37B",9.60522863879973e-06,0.339556087889499,0.308,0.132,0.144875663559016,"NK","VPS37B"
"LPCAT1",9.73719913827477e-06,0.310823831482757,0.354,0.167,0.146866174602598,"NK","LPCAT1"
"UCP2",1.00861680560778e-05,0.320348947060849,0.892,0.646,0.152129672789821,"NK","UCP2"
"TINF2",1.04424794509622e-05,0.39653649922286,0.462,0.264,0.157503917558863,"NK","TINF2"
"LIMD2",1.06392718726358e-05,0.310779713259129,0.938,0.681,0.160472137654965,"NK","LIMD2"
"ACP5",1.06629211357795e-05,0.35241566382982,0.415,0.22,0.160828839490962,"NK","ACP5"
"PRMT11",1.22306737484469e-05,0.3439493854307,0.415,0.219,0.184475252147824,"NK","PRMT1"
"IL12RB1",1.31567697981946e-05,0.398496241227666,0.385,0.203,0.198443558866169,"NK","IL12RB1"
"EDF1",1.31762418844455e-05,0.302029256777861,0.862,0.691,0.198737256343092,"NK","EDF1"
"DSTN",1.33513601445412e-05,0.306009011752416,0.615,0.413,0.201378565060115,"NK","DSTN"
"CELF2",1.3572741472579e-05,0.30446133289602,0.754,0.567,0.204717659630909,"NK","CELF2"
"TGFBR3",1.38490519817019e-05,0.33671749052566,0.277,0.112,0.208885251040009,"NK","TGFBR3"
"PLEK1",1.40817242747398e-05,0.335814908744364,0.708,0.5,0.2123946472359,"NK","PLEK"
"UBE2I",1.4560215602826e-05,0.270198145970749,0.769,0.534,0.219611731937425,"NK","UBE2I"
"ADD3",1.5623500806416e-05,0.426188552949986,0.631,0.459,0.235649262663173,"NK","ADD3"
"CDC42SE11",1.66501376384738e-05,0.331156130923305,0.738,0.567,0.251134026001101,"NK","CDC42SE1"
"EPC1",1.67653038564207e-05,0.318281627326895,0.477,0.285,0.252871078066393,"NK","EPC1"
"C5orf56",1.87228840001237e-05,0.333057273168999,0.6,0.399,0.282397259373866,"NK","C5orf56"
"PIP4K2A",1.96186991102362e-05,0.316834166609511,0.508,0.309,0.295908838679692,"NK","PIP4K2A"
"PSTPIP1",2.06297439082537e-05,0.330127716561764,0.431,0.249,0.31115842736819,"NK","PSTPIP1"
"MIEN1",2.06716373646131e-05,0.277022025225509,0.646,0.43,0.311790306370459,"NK","MIEN1"
"ARHGAP27",2.14596867637995e-05,0.308937789922731,0.292,0.128,0.323676455458388,"NK","ARHGAP27"
"TSPAN17",2.18641832025225e-05,0.295974290808979,0.277,0.12,0.329777475243647,"NK","TSPAN17"
"SETD5-AS11",2.38176345117067e-05,0.301062417846079,0.523,0.309,0.359241381340072,"NK","SETD5-AS1"
"POLR3GL",2.47173696031488e-05,0.356499486008126,0.554,0.365,0.372812085724294,"NK","POLR3GL"
"MED4",2.55538431089882e-05,0.326479694130415,0.492,0.306,0.385428615612869,"NK","MED4"
"CRELD2",2.60972080042613e-05,0.365966881140392,0.415,0.232,0.393624188328273,"NK","CRELD2"
"RRAS2",2.69058469693778e-05,0.35840954506825,0.262,0.11,0.405820889839125,"NK","RRAS2"
"CHD91",2.76770339802718e-05,0.35875824477564,0.369,0.193,0.41745270352444,"NK","CHD9"
"GZMM",2.78864988713957e-05,0.417203691829526,0.615,0.386,0.420612062477261,"NK","GZMM"
"TCF25",2.95031602885517e-05,0.376098519642384,0.662,0.497,0.444996166632225,"NK","TCF25"
"AES",2.97977907787883e-05,0.340264890467809,0.769,0.519,0.449440078316464,"NK","AES"
"SUN2",3.03199748197048e-05,0.487850967615545,0.523,0.333,0.457316180205607,"NK","SUN2"
"LAIR11",3.03925426938393e-05,0.355893758104662,0.338,0.162,0.458410721451178,"NK","LAIR1"
"SLAMF7",3.08933020151264e-05,0.399171397664735,0.4,0.214,0.465963674294152,"NK","SLAMF7"
"RCN2",3.10581060627634e-05,0.359345815284409,0.415,0.235,0.46844941374466,"NK","RCN2"
"SDF2L1",3.2044105355135e-05,0.622806552135724,0.477,0.296,0.483321241071501,"NK","SDF2L1"
"C12orf75",3.28153226708365e-05,0.342719891784037,0.631,0.384,0.494953511844227,"NK","C12orf75"
"C11orf21",3.31023273620619e-05,0.343969869638617,0.323,0.155,0.49928240360198,"NK","C11orf21"
"MBNL1",3.5674191590331e-05,0.370095918889336,0.646,0.481,0.538073831756963,"NK","MBNL1"
"OTUD5",3.87318910661095e-05,0.383968299652474,0.277,0.122,0.584193112950129,"NK","OTUD5"
"RPS191",4.05551756330094e-05,0.297615459996231,1,0.869,0.611693714072681,"NK","RPS19"
"CCDC85B",4.11808938939989e-05,0.337354721478848,0.631,0.467,0.621131422603185,"NK","CCDC85B"
"SERPINB61",4.40269250079061e-05,0.287927924734759,0.446,0.248,0.664058109894248,"NK","SERPINB6"
"PPP3CA",4.44135364467945e-05,0.280429968185372,0.4,0.216,0.669889370227002,"NK","PPP3CA"
"C19orf66",5.39515644953646e-05,0.351497297763868,0.462,0.29,0.813751447283584,"NK","C19orf66"
"KDELR2",5.55048466772158e-05,0.2634470163727,0.538,0.357,0.837179602432446,"NK","KDELR2"
